x;u(x)
0;26.6667
0.02;26.3334
0.04;26
0.06;25.6666
0.08;25.3334
0.1;24.9999
0.12;24.6666
0.14;24.3333
0.16;23.9999
0.18;23.6666
0.2;23.3333
0.22;23.0001
0.24;22.6667
0.26;22.3332
0.28;22
0.3;21.6666
0.32;21.3334
0.34;21.0002
0.36;20.6665
0.38;20.3333
0.4;20.0001
0.42;19.6666
0.44;19.3333
0.46;18.9998
0.48;18.6666
0.5;18.3332
0.52;18.0002
0.54;17.6667
0.56;17.3334
0.58;17
0.6;16.6667
0.62;16.3332
0.64;16.0002
0.66;15.6665
0.68;15.3335
0.7;14.9999
0.72;14.6669
0.74;14.3335
0.76;13.9999
0.78;13.6665
0.8;13.3336
0.82;13
0.84;12.6666
0.86;12.3334
0.88;12
0.9;11.6669
0.92;11.3334
0.94;11
0.96;10.6664
0.98;10.3332
1;10
1.02;9.8001
1.04;9.60013
1.06;9.39999
1.08;9.19993
1.1;8.99986
1.12;8.80001
1.14;8.59998
1.16;8.40001
1.18;8.19999
1.2;7.99986
1.22;7.80012
1.24;7.60006
1.26;7.39991
1.28;7.19985
1.3;7.00008
1.32;6.79989
1.34;6.60007
1.36;6.39988
1.38;6.20009
1.4;5.99998
1.42;5.79998
1.44;5.59993
1.46;5.39996
1.48;5.19988
1.5;5.00006
1.52;4.80003
1.54;4.60008
1.56;4.4
1.58;4.20004
1.6;3.9999
1.62;3.80004
1.64;3.60008
1.66;3.39988
1.68;3.19996
1.7;3.00004
1.72;2.80001
1.74;2.60009
1.76;2.39995
1.78;2.19995
1.8;2.00002
1.82;1.80003
1.84;1.60006
1.86;1.40003
1.88;1.20001
1.9;1.00006
1.92;0.799957
1.94;0.600029
1.96;0.400021
1.98;0.199977
2;0
